Dist.Name,Latitude,Longitude,"School Name",Address,Dist.Code,Enroll,Free,"% Free",Reduced,"% Reduced",Eligible,"% Eligible",County,"Accuracy Score",Latitude,Longitude,"Accuracy Score"
"Rsu 52/Msad 52",,,"Leeds Central School","1185 Maine 106, Leeds, ME  04263",1246,189,75,39.68,19,10.05,94,49.74,Androscoggin,0,44.292089,-70.135366,0.33
"Rsu 52/Msad 52",,,"Tripp Middle School","65 Matthews Way, Turner, ME  04282",1246,299,82,27.42,31,10.37,113,37.79,Androscoggin,0,44.269080777778,-70.227735688889,1
"Rsu 52/Msad 52",,,"Turner Elementary School","91 Matthews Way, Turner, ME  04282",1246,200,61,30.5,20,10,81,40.5,Androscoggin,0,44.268958,-70.228453,1
"Rsu 52/Msad 52",,,"Turner Primary School","59 Cobb Rd, Turner, ME  04282",1246,335,100,29.85,27,8.06,127,37.91,Androscoggin,0,44.271909948718,-70.217833384615,1
"Rsu 73",44.47228,-70.18078,"Livermore Elementary School","Livermore Elementary School, Livermore, Maine",3198,466,273,58.58,33,7.08,306,65.67,Androscoggin,0.67,37.750502,-121.749055,0.67
"Rumford Group Home",,,"Turner Family Support","161 Pleasant Pond Rd, Turner, ME, 04282",5728,4,4,100,0,0,4,100,Androscoggin,0,44.306692909091,-70.233145727273,1
"Spurwink School Inc",,,"Spurwink Services--Auburn","220 Danville Corner, Rd, Auburn, ME  04210",1375,25,14,56,1,4,15,60,Androscoggin,0,,,0
"St Dominic Academy",,,"St Dominick Academy","17 Baird Ave, Lewiston, ME  04240",1360,262,12,4.58,6,2.29,18,6.87,Androscoggin,0,44.080976538462,-70.193036230769,1
"Caswell School Department",,,"Dawn F Barnes Elementary Sch","1025 Van Buren Rd, Caswell, ME  04750",1033,32,26,81.25,2,6.25,28,87.5,Aroostook,0,46.977635692308,-67.822892076923,1
"Connor Consolidated School",,,"Connor Consolidated School","1581 Van Buren Rd, Connor Twp, ME  04736",5602,32,17,53.13,9,28.13,26,81.25,Aroostook,0,46.871355,-68.025442,0.22
