Great Falls Elementary School,27.3
Great Salt Bay Community School,40.5
Greely High School,6.4
Greely Middle School,9.2
Greene Central School,43.6
Greenville Consolidated School,52.7
Guy E Rowe School,71.6
H B Emery Jr Memorial School,61.5
Hall-Dale Elementary School,36.9
Hall-Dale High School,38.1
Hall-Dale Middle School,39.5
Hampden Academy,21.9
Hancock Grammar School,57.3
Harmony Elementary,63.3
Harpswell Community School,45.3
Harriet Beecher Stowe Elementary,36.6
Harrington Elementary School,68.5
Harrison Elementary,66.2
Harrison Lyseth Elem School,34.3
Hartford-Sumner Elementary School,65.1
Hartland Consolidated School,75.8
Hebron Station School,42.6
Helen S Dunn Elementary School,67.6
Helen Thompson School,36.5
Henry L Cottrell School,41
Hermon Elementary School,22.4
Hermon High School,24.4
Hermon Middle School,25.7
Hichborn Middle School,57.3
Hilltop Elementary School,54.5
Holbrook School,33.8
Holden School,23.2
Hollis School,41.9
Hope Elementary School,29.1
Horace Mitchell Primary School,35.4
Houlton Elementary School,68.5
Houlton High School,48.6
Houlton Junior High School,57.5
Houlton Southside School,63
Howard C Reiche Community Sch,68.6
Hudson Elementary School,51.9
Indian Island School,54.9
Indian Township School,85.8
Isle au Haut Rural School,100
Islesboro Central School,24.8
James F. Doughty School,61.4
James H Bean School,36.2
James Otis Kaler Elementary School,57.8
Jameson Elementary School,46
Jay Elementary School,50.9
Jefferson Village School,50
John F Kennedy Memorial School,61.1
Jonesboro Elementary School,70.4
Jonesport Elementary School,64.9
Jonesport-Beals High School,61
Jordan-Small Middle School,33.7
Katahdin Elementary School,65.1
Katahdin Middle/High School,59.4
Kenduskeag Elementary School,61.7
Kermit S Nickerson School,77.6
King Middle School,52.1
Kingfield Elementary School,56.6
Lafayette School,76.3
Lake Region High School,48.4
Lake Region Middle School,53.3
Lamoine Consolidated School,44.1
Laura E Richards School,52.7
Lawrence High School,49.1
Lawrence Jr High School,57.9
Leavitt Area High School,36.7
Lebanon Elementary Schools,51.3
Lee Academy,60
Lee/Winn School,87.8
Leeds Central School,45.6
Leonard Middle School,48.7
Leroy H Smith School,51.2
Lewiston High School,58.3
Lewiston Middle School,65.1
Libby-Tozier School,52.3
Lillian Parks Hussey School,54.7
Limestone Community School,71.1
Lincoln Academy,31.9
Lincoln Middle School,49.5
Lincoln School,68.9
Lincolnville Central School,43.8
Line Elementary,52.7
Lisbon Community School,43.1
Lisbon High School,40.8
Livermore Elementary School,54.9
Long Island Elementary School,23.5
Longfellow School-Portland,24.4
Loranger Middle School,43.9
Lubec Consolidated School,80
Lura Libby School,60.8
Lyman Elementary School,32.9
Lyman Moore Middle School,54.8
Mabel I Wilson School,8.7
Machias Memorial High School,46.2
Madawaska Elementary School,42.7
Madawaska Middle/High School,42.3
Madison Area Memorial H S,57.3
Madison Elementary School,68.7
Madison Junior High School,62
Maine Academy of Natural Sciences,39.1
Maine Central Institute,42.4
Manchester Elementary School,27.2
Manchester School,32.6
Manson Park School,48.2
Mapleton Elementary School,43.7
Maranacook Community High Sch,30.2
Maranacook Community Middle Sch,36.9
Marcia Buker School,50.4
Margaret Chase Smith Sch.-Sanford,56.9
Margaret Chase Smith Sch.-Skowhegan,63.6
Marion C Cook School,82.9
Marshwood Great Works School,22.7
Marshwood Middle School,20.7
Martel School,72
Mary Snow School,31.6
Massabesic High School,37.6
Massabesic Middle School,40.8
Mast Landing School,26.6
Mattanawcook Academy,53.8
Mattanawcook Jr High School,62.5
Medomak Middle School,57.2
Medomak Valley High School,49.9
Medway Middle School,59.7
Memorial Middle School,35.7
Memorial School,37
Meroby Elementary School,76.5
Messalonskee High School,34.2
Messalonskee Middle School,41.2
Milbridge Elementary School,66.7
Miles Lane School,53.4
Mill Pond School,73
Mill Stream Elementary School,64.4
Miller School,68.7
Milo Elementary School,80.4
Minot Consolidated School,29.2
Molly Ockett Middle School,40
Monmouth Academy,30.3
Monmouth Middle School,35.8
Monroe Elementary School,58.1
Montello School,83.6
