Dist.Name,Latitude,Longitude,School Name,Address,ZIP,Dist.Code,Enroll,Free,% Free,Reduced,% Reduced,Eligible,% Eligible,County,Accuracy Score,Latitude,Longitude,Accuracy Score
Rsu 54 / Msad 54,44.769303,-69.593975,Skowhegan Area Middle School,"Skowhegan Area Middle School, Maine",,1248,538,304,56.51,44,8.18,348,64.68,Somerset,0.67,44.769303,-69.593975,0.67
Islesboro School Department,44.309021,-68.900772,Islesboro Central School,"Islesboro Central School, Maine",,1079,96,21,21.88,7,7.29,28,29.17,Waldo,0.67,44.309021,-68.900772,0.67
Lincolnville School Department,44.478694,-69.149559,Lincolnville Central School,"Lincolnville Central School, Maine",,1091,181,57,31.49,13,7.18,70,38.67,Waldo,0.67,44.478694,-69.149559,0.67
Rsu 03/Msad 03,44.682568,-69.256714,Troy Central School,"Troy Central School, Maine",,1197,79,53,67.09,11,13.92,64,81.01,Waldo,0.53,44.682568,-69.256714,0.53
Rsu 20,44.404619,-69.040297,Belfast Area High School,"Belfast Area High School, Maine",,3166,549,239,43.53,40,7.29,279,50.82,Waldo,0.67,44.404619,-69.040297,0.67
Rsu 20,44.41758,-68.52252,East Belfast School,"East Belfast School, Maine",,3166,116,79,68.1,4,3.45,83,71.55,Waldo,0.67,44.41758,-68.52252,0.67
Rsu 20,44.489412,-68.933051,Searsport District High School,"Searsport District High School, Maine",,3166,160,83,51.88,21,13.13,104,65,Waldo,0.67,44.489412,-68.933051,0.67
Rsu 20,44.489412,-68.933051,Searsport District Middle School,"Searsport District Middle School, Maine",,3166,156,98,62.82,17,10.9,115,73.72,Waldo,0.67,44.489412,-68.933051,0.67
Rsu 20,44.489412,-68.933051,Searsport Elementary,"Searsport Elementary, Maine",,3166,221,140,63.35,19,8.6,159,71.95,Waldo,0.67,44.489412,-68.933051,0.67
Sweetser Children'S Services,44.404619,-69.040297,Belfast Crisis Unit,"Belfast Crisis Unit, Maine",,1396,4,4,100,0,0,4,100,Waldo,0.67,44.404619,-69.040297,0.67
Sweetser Children'S Services,44.404619,-69.040297,Belfast Me 2,"Belfast Me 2, Maine",,1396,4,3,75,0,0,3,75,Waldo,1,44.404619,-69.040297,1
Sweetser Children'S Services,44.404619,-69.040297,Belfast Me 3,"Belfast Me 3, Maine",,1396,6,5,83.33,0,0,5,83.33,Waldo,1,44.404619,-69.040297,1
Baileyville School Department,45.157019,-67.404717,Woodland Elementary School,"Woodland Elementary School, Maine",,1009,127,67,52.76,13,10.24,80,62.99,Washington,0.6,45.157019,-67.404717,0.6
Baileyville School Department,45.157019,-67.404717,Woodland Jr-Sr High School,"Woodland Jr-Sr High School, Maine",,1009,177,75,42.37,23,12.99,98,55.37,Washington,0.6,45.157019,-67.404717,0.6
Cherryfield Public Schools,44.603258,-67.923248,Cherryfield Elementary,"Cherryfield Elementary, Maine",,3230,109,68,62.39,12,11.01,80,73.39,Washington,0.67,44.603258,-67.923248,0.67
East Range Csd,44.735628,-68.767536,East Range I I School,"East Range I I School, Maine",,1288,36,19,52.78,10,27.78,29,80.56,Washington,0.53,44.735628,-68.767536,0.53
Edmunds Consolodated School,44.872023,-67.164152,Edmunds Consolidated School,"Edmunds Consolidated School, Maine",,5603,55,27,49.09,8,14.55,35,63.64,Washington,0.53,44.872023,-67.164152,0.53
Eastport School Department,43.732391,-70.845114,Eastport Elementary School,"Eastport Elementary School, Maine",,1054,90,48,53.33,13,14.44,61,67.78,Washington,0.67,43.732391,-70.845114,0.67
Jonesport School Department,44.53286,-67.59833,Jonesport Elementary School,"Jonesport Elementary School, Maine",,1083,124,72,58.06,17,13.71,89,71.77,Washington,0.67,44.53286,-67.59833,0.67
Jonesboro School Department,44.66258,-67.57249,Jonesboro Elementary School,"Jonesboro Elementary School, Maine",,1082,63,35,55.56,7,11.11,42,66.67,Washington,0.67,44.66258,-67.57249,0.67
Moosabec Csd,44.53286,-67.59833,Jonesport-Beals High School,"Jonesport-Beals High School, Maine",,1292,61,32,52.46,9,14.75,41,67.21,Washington,0.67,44.53286,-67.59833,0.67
Princeton School Department,45.209229,-67.575432,Princeton Elementary School,"Princeton Elementary School, Maine",,1136,119,70,58.82,14,11.76,84,70.59,Washington,0.67,45.209229,-67.575432,0.67
Robbinston School Department,45.07813,-67.10943,Robbinston Grade School,"Robbinston Grade School, Maine",,1143,50,24,48,5,10,29,58,Washington,0.67,45.07813,-67.10943,0.67
Rsu 37/Msad 37,44.61924,-67.81028,Harrington Elementary School,"Harrington Elementary School, Maine",,1231,169,90,53.25,14,8.28,104,61.54,Washington,0.67,44.61924,-67.81028,0.67
Rsu 37/Msad 37,44.53536,-67.88083,Milbridge Elementary School,"Milbridge Elementary School, Maine",,1231,119,81,68.07,10,8.4,91,76.47,Washington,0.67,44.53536,-67.88083,0.67
Rsu 84 /Msad 14,47.45587,-69.18201,East Grand School,"East Grand School, Maine",,1208,142,96,67.61,19,13.38,115,80.99,Washington,0.67,47.45587,-69.18201,0.67
Vanceboro School Department,45.5634,-67.42972,Vanceboro Elementary School,"Vanceboro Elementary School, Maine",,1165,11,4,36.36,3,27.27,7,63.64,Washington,0.67,45.5634,-67.42972,0.67
Washington Academy,44.27369,-69.36727,Washington Academy,"Washington Academy, Maine",,1336,371,115,31,37,9.97,152,40.97,Washington,0.67,44.27369,-69.36727,0.67
Biddeford School Department,43.45813,-70.505301,Biddeford High School,"Biddeford High School, Maine",,1016,800,321,40.13,45,5.63,366,45.75,York,0.67,43.45813,-70.505301,0.67
Biddeford School Department,43.45813,-70.505301,Biddeford Intermediate School,"Biddeford Intermediate School, Maine",,1016,369,199,53.93,24,6.5,223,60.43,York,0.67,43.45813,-70.505301,0.67
Biddeford School Department,43.45813,-70.505301,Biddeford Middle School,"Biddeford Middle School, Maine",,1016,590,265,44.92,30,5.08,295,50,York,0.67,43.45813,-70.505301,0.67
Biddeford School Department,43.45813,-70.505301,Biddeford Primary School,"Biddeford Primary School, Maine",,1016,540,301,55.74,19,3.52,320,59.26,York,0.67,43.45813,-70.505301,0.67
Rsu 21,43.38409,-70.54419,Kennebunk Elementary School,"Kennebunk Elementary School, Maine",,3167,464,110,23.71,20,4.31,130,28.02,York,0.67,43.38409,-70.54419,0.67
Rsu 21,43.38409,-70.54419,Kennebunk High School,"Kennebunk High School, Maine",,3167,675,107,15.85,35,5.19,142,21.04,York,0.67,43.38409,-70.54419,0.67
Rsu 21,43.38409,-70.54419,Kennebunkport Consolidated Sch,"Kennebunkport Consolidated Sch, Maine",,3167,200,33,16.5,3,1.5,36,18,York,0.67,43.38409,-70.54419,0.67
Rsu 23 Old Orchard/ Dayton/ Saco,43.52395,-70.39069,Old Orchard Beach High School,"Old Orchard Beach High School, Maine",,3168,228,101,44.3,17,7.46,118,51.75,York,0.67,43.52395,-70.39069,0.67
Rsu 35/Msad 35,44.180965,-70.891727,Central School,"Central School, Maine",,1229,566,96,16.96,26,4.59,122,21.55,York,0.67,44.180965,-70.891727,0.67
Rsu 57/Msad 57,43.467224,-70.738992,Alfred Elementary School,"Alfred Elementary School, Maine",,1251,206,67,32.52,10,4.85,77,37.38,York,0.67,43.467224,-70.738992,0.67
Rsu 57/Msad 57,43.573684,-70.749181,Waterboro Elementary School,"Waterboro Elementary School, Maine",,1251,518,225,43.44,37,7.14,262,50.58,York,0.67,43.573684,-70.749181,0.67
Rsu 60/Msad 60,44.101552,-70.698919,North Berwick Elementary School,"North Berwick Elementary School, Maine",,1254,341,100,29.33,20,5.87,120,35.19,York,0.67,44.101552,-70.698919,0.67
Sweetser Children'S Services,44.404619,-69.040297,Belfast Cottage Staff Intensive,"Belfast Cottage Staff Intensive, Maine",,1396,6,6,100,0,0,6,100,York,0.67,44.404619,-69.040297,0.67
Sweetser Children'S Services,43.627028,-70.216159,Cape Cottage Staff Intensive,"Cape Cottage Staff Intensive, Maine",,1396,5,3,60,0,0,3,60,York,0.6,43.627028,-70.216159,0.6
Sweetser Children'S Services,44.250346,-70.812568,East Staff Intensive,"East Staff Intensive, Maine",,1396,7,5,71.43,0,0,5,71.43,York,0.6,44.250346,-70.812568,0.6
Sweetser Children'S Services,43.658784,-70.262393,Portland Adolescent Staff Intensive,"Portland Adolescent Staff Intensive, Maine",,1396,8,7,87.5,0,0,7,87.5,York,0.67,43.658784,-70.262393,0.67
Sweetser Children'S Services,,,Saco Crisis Unit,"Saco Crisis Unit, Maine",,1396,12,8,66.67,0,0,8,66.67,York,0,,,0
Sweetser Children'S Services,,,Saco Family Focus,"Saco Family Focus, Maine",,1396,6,3,50,0,0,3,50,York,0,,,0
Sweetser Children'S Services,44.16647,-68.691416,West Staff Intensive,"West Staff Intensive, Maine",,1396,8,6,75,0,0,6,75,York,0.53,44.16647,-68.691416,0.53
Rsu 60/Msad 60,,,Berwick Elem Schools,"20 Blackberry Hill Road, Berwick, Maine 03901",3901,1254,658,230,34.95,64,9.73,294,44.68,York,0,43.26366348,-70.83916868,1
Rsu 60/Msad 60,,,Noble Middle School,"46 Cranberry Meadow Rd, Berwick, ME  03901",3901,1254,488,189,38.73,55,11.27,244,50,York,0,43.28675006,-70.82421633,1
Rsu 35/Msad 35,,,Eliot Elementary School,"1298 State Rd, Eliot, ME  03903",3903,1229,302,55,18.21,11,3.64,66,21.85,York,0,43.122517,-70.787655,1
Kittery School Department,,,Robert W Traip Academy,"12 Williams Ave, Kittery, ME  03904",3904,1085,280,63,22.5,27,9.64,90,32.14,York,0,43.08704965,-70.73782029,1
Kittery School Department,,,Shapleigh Middle School,"43 Stevenson Rd, Kittery, ME  03904",3904,1085,407,120,29.48,50,12.29,170,41.77,York,0,43.1143609,-70.7446406,1
Kittery School Department,,,Horace Mitchell Primary School,"7 Mitchell School Ln, Kittery, ME  03905",3905,1085,415,117,28.19,41,9.88,158,38.07,York,0,43.094746,-70.68928,0.22
Rsu 60/Msad 60,,,Noble High School,"388 Somersworth Rd, North Berwick, ME  03906",3906,1254,1097,433,39.47,107,9.75,540,49.23,York,0,43.29873281,-70.77735488,1
Rsu 35/Msad 35,,,Marshwood Great Works School,"49 Academy St, South Berwick, ME  03908",3908,1229,346,89,25.72,19,5.49,108,31.21,York,0,43.225909,-70.802339,1
Rsu 35/Msad 35,,,Marshwood High School,"260 Dow Highway, South Berwick, ME  03908",3908,1229,795,0,0,0,0,0,0,York,0,43.2004125,-70.79376952,1
Rsu 35/Msad 35,,,Marshwood Middle School,"626 H.L. Dow Highway, Eliot, ME  03908",3908,1229,566,109,19.26,28,4.95,137,24.2,York,0,43.227549,-70.71171,0.22
York School Department,,,Coastal Ridge Elementary,"1 Coastal Ridge Dr, York, ME  03909",3909,1191,314,37,11.78,15,4.78,52,16.56,York,0,43.166461,-70.679004,0.33
York School Department,,,Village Elementary School-York,"124 York St, York, ME 03909",3909,1191,308,34,11.04,12,3.9,46,14.94,York,0,43.14545367,-70.65597933,1
York School Department,,,York High School,"1 Robert Stevens, York, ME  03909",3909,1191,628,43,6.85,17,2.71,60,9.55,York,0,43.166461,-70.679004,0.33
York School Department,,,York Middle School,"30 Organug Rd, York, ME  03909",3909,1191,580,40,6.9,20,3.45,60,10.34,York,0,43.1463775,-70.66282,1
Acton School Department,,,Acton Elementary School,"700 Milton Mills Rd, Acton, ME  04001",4001,1000,206,78,37.86,19,9.22,97,47.09,York,0,43.50680621,-70.89439162,1
Rsu 57/Msad 57,,,Lyman Elementary School,"39 Schoolhouse Rd, Lyman, ME  04002",4002,1251,259,91,35.14,13,5.02,104,40.15,York,0,43.467224,-70.738992,0.22
Biddeford School Department,,,John F Kennedy Memorial School,"64 West St, Biddeford, ME  04005",4005,1016,204,124,60.78,8,3.92,132,64.71,York,0,43.47868417,-70.46355917,1
Good Shepard Parish Schools,,,St James School,"25 Graham St, Biddeford, ME  04005",4005,5005,158,12,7.59,3,1.9,15,9.49,York,0,43.490646,-70.46004,1
Rsu 23 Old Orchard/ Dayton/ Saco,,,Dayton Consolidated School,"21 Clarks Mills Rd, Dayton, ME  04005",4005,3168,142,26,18.31,13,9.15,39,27.46,York,0,43.54608955,-70.59393804,1
N F I North,,,N.F.I.Dodge House,"15 Wayside Ave, Bridgton, ME  04009",4009,5099,12,12,100,0,0,12,100,Androscoggin,0,44.0600925,-70.711473,1
N F I North,,,N.F.I. Bridge Crossing,"15 Wayside Ave, Bridgton, ME  04009",4009,5099,12,11,91.67,0,0,11,91.67,Cumberland,0,44.0600925,-70.711473,1
Rsu 61/Msad 61,43.613563,-70.9945,Stevens Brook School,"14 Frances Bell Dr, Bridgton, ME  04009",4009,1255,298,167,56.04,20,6.71,187,62.75,Cumberland,0.53,44.06751,-70.72512,0.33
Brunswick School Department,,,Coffin School,"20 Barrows St, Brunswick, ME  04011",4011,1026,350,130,37.14,13,3.71,143,40.86,Cumberland,0,43.9011265,-69.97324725,1
Brunswick School Department,,,Harriet Beecher Stowe Elementary School,"44 McKeen St, Brunswick, ME  04011",4011,1026,694,227,32.71,47,6.77,274,39.48,Cumberland,0,43.90730043,-69.97307771,1
Rsu 55/Msad 55,,,Cornish Elementary School,"17 School St, Cornish, ME  04020",4020,1249,96,52,54.17,9,9.38,61,63.54,York,0,43.77397,-70.791727,0.33
Rsu 51/Msad 51,,,Greely High School,"303 Main St, Cumberland Center, ME  04021",4021,1245,673,45,6.69,21,3.12,66,9.81,Cumberland,0,43.797886,-70.257511,1
Rsu 51/Msad 51,,,Greely Middle School,"351 Tuttle Rd, Cumberland, ME  04021",4021,1245,494,39,7.89,13,2.63,52,10.53,Cumberland,0,43.79467567,-70.25486633,1
Rsu 51/Msad 51,,,Mabel I Wilson School,"353 Tuttle Rd, Cumberland, ME  04021",4021,1245,558,55,9.86,11,1.97,66,11.83,Cumberland,0,43.79483233,-70.25517967,1
Rsu 60/Msad 60,,,Lebanon School,"53 Upper Guinea Rd, Lebanon, ME  04027",4027,1254,449,196,43.65,44,9.8,240,53.45,York,0,43.40104369,-70.90987382,0.8
Rsu 61/Msad 61,,,Sebago Elementary School,"283 Sebago Rd, Sebago, ME  04029",4029,1255,82,37,45.12,7,8.54,44,53.66,Cumberland,0,43.87041268,-70.63327844,1
Rsu 57/Msad 57,,,Massabesic Middle School,"134 Old Alfred Rd, East Waterboro, ME  04030",4030,1251,746,290,38.87,63,8.45,353,47.32,York,0,43.596921,-70.689681,0.33
Rsu 05,,,Morse Street School,"21 Morse St, Freeport, ME  04032",4032,3158,274,56,20.44,6,2.19,62,22.63,Cumberland,0,43.85881815,-70.10702207,1
Rsu 72 / Msad 72,,,Charles A Snow School,"11 Pine St, Fryeburg, ME  04037",4037,1264,213,97,45.54,18,8.45,115,53.99,Oxford,0,44.01592158,-70.97402808,1
Rsu 72 / Msad 72,,,Molly Ockett Middle School,"25 Molly Ockett Dr, Fryeburg, ME  04037",4037,1264,251,92,36.65,15,5.98,107,42.63,Oxford,0,44.044292,-70.964418,0.33
Becket Family Of Services,,,Becket - Gorham,"237 Dingley Spring Rd, Gorham, ME  04038",4038,5027,7,7,100,0,0,7,100,Cumberland,0,43.71208771,-70.53132244,1
Gorham School Department,,,Gorham High School,"41 Morrill Ave, Gorham, ME  04038",4038,1065,855,164,19.18,18,2.11,182,21.29,Cumberland,0,43.6744175,-70.4434125,1
Gorham School Department,,,Gorham Middle School,"106 Weeks Rd, Gorham, ME  04038",4038,1065,655,117,17.86,15,2.29,132,20.15,Cumberland,0,43.6660082,-70.444602,1
Gorham School Department,,,Narragansett Elementary School,"284 Main St, Gorham, ME  04038",4038,1065,257,67,26.07,9,3.5,76,29.57,Cumberland,0,43.684982,-70.425165,1
Gorham School Department,,,Village Elementary School-Gorham,"12 Robie St, Gorham, ME 04038",4038,1065,436,75,17.2,2,0.46,77,17.66,Cumberland,0,43.67870267,-70.43917717,1
Rsu 15/Msad 15,,,Gray-New Gloucester High School,"10 Libby Hill Rd, Gray, ME  04039",4039,1209,509,137,26.92,30,5.89,167,32.81,Cumberland,0,43.90187608,-70.35791,1
Rsu 15/Msad 15,,,Gray-New Gloucester Middle School,"31 Libby Hill Rd, Gray, ME  04039",4039,1209,653,196,30.02,48,7.35,244,37.37,Cumberland,0,43.90206078,-70.35491304,1
Rsu 15/Msad 15,,,Russell School,"8 Gray Park, Gray, ME  04039",4039,1209,287,88,30.66,19,6.62,107,37.28,Cumberland,0,43.878567,-70.328889,0.33
Rsu 17/Msad 17,,,Harrison Elementary,"309 Naples Rd, Harrison, ME  04040",4040,1211,144,75,52.08,14,9.72,89,61.81,Cumberland,0,44.08709038,-70.67470172,1
Rsu 55/Msad 55,,,Sacopee Valley High Sch,"115 Hiram Rd, Hiram, ME  04041",4041,1249,401,174,43.39,42,10.47,216,53.87,Oxford,0,43.879628,-70.826188,0.33
Rsu 55/Msad 55,,,Sacopee Valley Middle School,"137 Hiram Rd, Hiram, ME  04041",4041,1249,318,150,47.17,45,14.15,195,61.32,Oxford,0,43.879628,-70.826188,0.33
Rsu 55/Msad 55,,,South Hiram Elementary School,"213 Hiram Rd, Hiram, ME  04041",4041,1249,207,135,65.22,20,9.66,155,74.88,Oxford,0,43.879628,-70.826188,0.33
Rsu 06/ Msad 06,,,Hollis School,"554 River Rd, Hollis, ME  04042",4042,1200,333,120,36.04,23,6.91,143,42.94,York,0,43.63516571,-70.59811776,1
Rsu 21,,,Middle School Of The Kennebunks,"60 Thompson Rd, Kennebunk, ME  04043",4043,3167,518,82,15.83,24,4.63,106,20.46,York,0,43.40979463,-70.57897319,1
Rsu 21,,,Sea Road School,"29 Kennebunk Beach Rd, Kennebunk, ME  04043",4043,3167,269,45,16.73,11,4.09,56,20.82,York,0,43.37783967,-70.52783133,1
Rsu 21,,,Mildred L Day School,"600 Limerick Rd, Arundel, ME  04046",4046,3167,251,79,31.47,9,3.59,88,35.06,York,0,43.44654569,-70.53913743,1
Rsu 06/ Msad 06,,,H B Emery Jr Memorial School,"908 Cape Rd, Limington, ME  04049",4049,1200,186,90,48.39,19,10.22,109,58.6,York,0,43.72996667,-70.70915233,1
Long Island School Department,,,Long Island Elementary School,"Long Island Elementary School, Long Island, Maine, 04050",4050,1135,22,4,18.18,1,4.55,5,22.73,Cumberland,0,,,0
Rsu 72 / Msad 72,,,New Suncook School,"95 Main St, Lovell, ME  04051",4051,1264,189,76,40.21,13,6.88,89,47.09,Oxford,0,44.18035433,-70.89201233,1
Rsu 61/Msad 61,,,Lake Region High School,"1877 Roosevelt Trail, Naples, ME  04055",4055,1255,528,206,39.02,43,8.14,249,47.16,Cumberland,0,43.96336047,-70.56968737,1
Rsu 61/Msad 61,,,Lake Region Middle School,"204 Kansas Rd, Naples, ME  04055",4055,1255,393,175,44.53,36,9.16,211,53.69,Cumberland,0,43.920505,-70.629919,1
Rsu 61/Msad 61,43.975769,-70.639298,Songo Locks School,"25 Songo School Rd, Naples, Me  04055",4055,1255,463,194,41.9,44,9.5,238,51.4,Cumberland,0.53,43.957208,-70.639546,0.33
Rsu 23 Old Orchard/ Dayton/ Saco,,,Jameson Elementary School,"20 Jameson Hill Rd, Old Orchard Bch, ME 04064",4064,3168,242,103,42.56,13,5.37,116,47.93,York,0,43.51225838,-70.39297188,1
Rsu 23 Old Orchard/ Dayton/ Saco,,,Loranger Middle School,"148 Saco Ave, Old Orchard Bch, ME   04064",4064,3168,319,157,49.22,20,6.27,177,55.49,York,0,43.51340743,-70.39019486,1
Rsu 05,,,Pownal Elementary School,"587 Elmwood Rd, Pownal, ME  04069",4069,3158,80,12,15,0,0,12,15,Cumberland,0,43.895005,-70.19010622,1
Rsu 14 Raymond/Windham,,,Jordan-Small Middle School,"423 Webbs Mills Rd, Raymond, ME  04071",4071,3162,188,56,29.79,14,7.45,70,37.23,Cumberland,0,43.93698083,-70.44571892,1
Rsu 14 Raymond/Windham,,,Raymond Elementary School,"434 Webbs Mills Rd, Raymond, ME  04071",4071,3162,232,62,26.72,16,6.9,78,33.62,Cumberland,0,43.93590183,-70.44371542,1
Rsu 23 Old Orchard/ Dayton/ Saco,,,C K Burns School,"135 Middle St Ext, Saco, ME  04072",4072,3168,608,214,35.2,39,6.41,253,41.61,York,0,43.50092,-70.44283,0.33
Rsu 23 Old Orchard/ Dayton/ Saco,,,Governor John Fairfield School,"75 Beach St, Saco, ME  04072",4072,3168,287,139,48.43,18,6.27,157,54.7,York,0,43.49972935,-70.43928588,1
Rsu 23 Old Orchard/ Dayton/ Saco,,,Saco Middle School,"40 Buxton Rd, Saco, ME  04072",4072,3168,693,205,29.58,40,5.77,245,35.35,York,0,43.50092,-70.44283,0.33
Rsu 23 Old Orchard/ Dayton/ Saco,,,Young School,"36 Tasker St, Saco, ME  04072",4072,3168,303,73,24.09,7,2.31,80,26.4,York,0,43.51406,-70.451535,1
Sweetser Children'S Services,,,The School At Sweetser-Saco,"50 Moody Street, Saco ME 04072",4072,1396,66,56,84.85,0,0,56,84.85,York,0,43.5149485,-70.432578,1
Sanford School Department,,,Lafayette School,"69 Brook St, Sanford, ME  04073",4073,1148,134,93,69.4,6,4.48,99,73.88,York,0,43.44419625,-70.7710075,1
Sanford School Department,,,Margaret Chase Smith Sch.-Sanford,"248 Twombley Rd, Sanford, ME  04073",4073,1148,396,186,46.97,29,7.32,215,54.29,York,0,43.44007,-70.78015,0.33
Sanford School Department,43.44007,-70.78015,Sanford High School,"52 Sanford High School Blvd, Sanford, ME  04073",4073,1148,1074,440,40.97,84,7.82,524,48.79,York,0.67,43.45320661,-70.78421827,1
Sanford School Department,43.44007,-70.78015,Sanford Jr High School,"708 Main St, Sanford, ME  04073",4073,1148,591,299,50.59,64,10.83,363,61.42,York,0.67,43.451664,-70.788181,1
Sanford School Department,,,Willard School,"668 Main St, Sanford, ME  04073",4073,1148,448,264,58.93,34,7.59,298,66.52,York,0,43.45275019,-70.78863481,0.8
St Thomas School,,,St Thomas School,"69 North Ave, Sanford, ME  04073",4073,1401,146,10,6.85,5,3.42,15,10.27,York,0,43.449632,-70.7736,1
Scarborough School Department,,,Benjamin Wentworth Intermediate,"9 Wentworth Dr, Scarborough, ME  04074",4074,1149,703,101,14.37,30,4.27,131,18.63,Cumberland,0,43.589627,-70.366191,0.33
Scarborough School Department,,,Eight Corners Elementary School,"22 Mussey Rd, Scarborough, ME  04074",4074,1149,233,39,16.74,10,4.29,49,21.03,Cumberland,0,43.61814064,-70.34961636,1
Rsu 57/Msad 57,,,Shapleigh Memorial School,"467 Shapleigh Corner Rd, Shapleigh, ME  04076",4076,1251,145,52,35.86,12,8.28,64,44.14,York,0,43.53395822,-70.85172878,1
Sanford School Department,,,Carl J Lamb School,"233 Shaws Ridge Rd, Springvale, ME  04083",4083,1148,523,296,56.6,41,7.84,337,64.44,York,0,43.46682,-70.80132,0.33
Rsu 06/ Msad 06,,,Bonny Eagle High School,"700 Saco Rd, Standish, ME  04084",4084,1200,1173,356,30.35,81,6.91,437,37.25,Cumberland,0,43.6978077,-70.60082147,1
Rsu 06/ Msad 06,,,Edna Libby Elementary School,"45 Fort Hill Rd, Standish, ME  04084",4084,1200,287,117,40.77,17,5.92,134,46.69,Cumberland,0,43.804454,-70.554905,0.33
Rsu 06/ Msad 06,,,George E Jack School,"15 NE Rd, Standish, ME  04084",4084,1200,190,69,36.32,14,7.37,83,43.68,Cumberland,0,43.804454,-70.554905,0.33
Rsu 75/Msad 75,,,Mt Ararat High School,"73 Eagles Way, Topsham, ME  04086",4086,1266,821,219,26.67,69,8.4,288,35.08,Sagadahoc,0,43.981404,-69.937793,0.33
Rsu 75/Msad 75,,,Mt Ararat Middle School,"66 Republic Ave, Topsham, ME  04086",4086,1266,571,179,31.35,46,8.06,225,39.4,Sagadahoc,0,43.948749,-69.96555833,1
Rsu 75/Msad 75,,,Williams-Cone School,"19 Perkins St, Topsham, ME  04086",4086,1266,229,64,27.95,11,4.8,75,32.75,Sagadahoc,0,43.92835441,-69.96167639,1
Rsu 75/Msad 75,,,Woodside Elementary School,"42 Barrows Dr, Topsham, ME  04086",4086,1266,328,98,29.88,27,8.23,125,38.11,Sagadahoc,0,43.93146633,-69.969076,1
Rsu 57/Msad 57,,,Massabesic High School,"88 W Rd, Waterboro, ME  04087",4087,1251,1072,372,34.7,99,9.24,471,43.94,York,0,43.573684,-70.749181,0.33
Wells-Ogunquit Csd,,,Wells Elementary School,"276 Sanford Rd, Wells, ME  04090",4090,1293,469,92,19.62,30,6.4,122,26.01,York,0,43.34077997,-70.63877636,1
Wells-Ogunquit Csd,,,Wells High School,"200 Sanford Rd, Wells, ME  04090",4090,1293,450,75,16.67,26,5.78,101,22.44,York,0,43.32188491,-70.59095118,0.8
Wells-Ogunquit Csd,,,Wells Junior High School,"1470 Post Rd, Wells, ME  04090",4090,1293,421,66,15.68,29,6.89,95,22.57,York,0,43.32010183,-70.58182215,1
Rsu 55/Msad 55,,,Baldwin Consolidated School,"536 Pequawket Trail, Maine 113, West Baldwin, ME  04091",4091,1249,75,25,33.33,14,18.67,39,52,Cumberland,0,43.83313,-70.77784,0.22
Westbrook School Department,,,Congin School,"410 Bridge St, Westbrook, ME  04092",4092,1175,425,216,50.82,24,5.65,240,56.47,Cumberland,0,43.6890206,-70.360287,1
Westbrook School Department,,,Oxford-Cumberland Canal School,"102 Glenwood Ave, Westbrook, ME  04092",4092,1175,314,191,60.83,25,7.96,216,68.79,Cumberland,0,43.66948888,-70.35631424,1
Westbrook School Department,,,Saccarappa School,"110 Huntress Ave, Westbrook, ME  04092",4092,1175,328,194,59.15,25,7.62,219,66.77,Cumberland,0,43.67288052,-70.37635297,1
N F I North,,,N.F.I. Beacon House,"360 Long Plains Rd, Buxton, ME  04093",4093,5099,8,8,100,0,0,8,100,York,0,43.67280716,-70.58323339,1
Rsu 06/ Msad 06,,,Bonny Eagle Middle School,"92 Sokokis Trail, Buxton, ME  04093",4093,1200,886,310,34.99,84,9.48,394,44.47,York,0,43.69108325,-70.60179013,1
Rsu 06/ Msad 06,,,Buxton Center Elem,"912 Long Plains Rd, Buxton, ME  04093",4093,1200,701,249,35.52,68,9.7,317,45.22,York,0,43.65066093,-70.54526221,1
Rsu 57/Msad 57,,,Line Elementary,"818 Water St, West Newfield, ME  04095",4095,1251,290,152,52.41,28,9.66,180,62.07,York,0,43.6380685,-70.8261375,1
Yarmouth Schools,,,Frank H Harrison Middle School,"220 McCartney St, Yarmouth, ME  04096",4096,1190,472,38,8.05,7,1.48,45,9.53,Cumberland,0,43.7962395,-70.2022685,1
Yarmouth Schools,,,William H Rowe School,"52 School St, Yarmouth, ME  04096",4096,1190,183,16,8.74,3,1.64,19,10.38,Cumberland,0,43.798227,-70.171979,0.33
Yarmouth Schools,,,Yarmouth Elementary School,"121 McCartney St, Yarmouth, ME  04096",4096,1190,321,35,10.9,6,1.87,41,12.77,Cumberland,0,43.796383,-70.200443,1
Yarmouth Schools,,,Yarmouth High School,"286 W. Elm St, Yarmouth, ME  04096",4096,1190,501,33,6.59,8,1.6,41,8.18,Cumberland,0,43.796866,-70.195943,1
Portland Public Schools,,,Fred P Hall School,"23 Orono Rd, Portland, ME  04102",4102,1134,449,179,39.87,13,2.9,192,42.76,Cumberland,0,43.67790596,-70.31613147,1
Portland Public Schools,,,Howard C Reiche Community Sch,"166 Brackett St, Portland, ME  04102",4102,1134,364,263,72.25,8,2.2,271,74.45,Cumberland,0,43.651509,-70.268205,1
Portland Public Schools,,,King Middle School,"92 Deering Ave, Portland, ME  04102",4102,1134,536,269,50.19,21,3.92,290,54.1,Cumberland,0,43.65722163,-70.274056,1
Portland Public Schools,,,Casco Bay High School,"196 Allen Ave, Portland, ME  04103",4103,1134,336,136,40.48,5,1.49,141,41.96,Cumberland,0,43.694148,-70.292231,1
Portland Public Schools,,,Deering High School,"370 Stevens Ave, Portland, ME  04103",4103,1134,932,468,50.21,35,3.76,503,53.97,Cumberland,0,43.67137733,-70.295039,1
