Dist.Name,Latitude,Longitude,School Name,Address,ZIP,Dist.Code,Enroll,Free,% Free,Reduced,% Reduced,Eligible,% Eligible,County,Accuracy Score,Latitude,Longitude,Accuracy Score
Brunswick School Department,43.91172,-69.9405,Brunswick Jr High School,"Brunswick Jr High School, Maine",,1026,501,134,26.75,30,5.99,164,32.73,Cumberland,0.67,43.91172,-69.9405,0.67
Cape Elizabeth School Department,43.595512,-70.239559,Cape Elizabeth High School,"Cape Elizabeth High School, Maine",,1029,554,43,7.76,6,1.08,49,8.84,Cumberland,0.67,43.595512,-70.239559,0.67
Cape Elizabeth School Department,43.595512,-70.239559,Cape Elizabeth Middle School,"Cape Elizabeth Middle School, Maine",,1029,546,34,6.23,7,1.28,41,7.51,Cumberland,0.67,43.595512,-70.239559,0.67
Cape Elizabeth School Department,43.596473,-70.228658,Pond Cove Elementary,"Pond Cove Elementary, Maine",,1029,573,32,5.58,7,1.22,39,6.81,Cumberland,0.6,43.596473,-70.228658,0.6
Gorham School Department,45.049429,-68.581212,Great Falls Elementary School,"Great Falls Elementary School, Maine",,1065,529,110,20.79,7,1.32,117,22.12,Cumberland,0.67,45.049429,-68.581212,0.67
Portland Public Schools,44.61617,-70.71479,East End Community School,"East End Community School, Maine",,1134,428,317,74.07,11,2.57,328,76.64,Cumberland,0.67,44.61617,-70.71479,0.67
Portland Public Schools,43.662809,-70.188442,Peaks Island School,"Peaks Island School, Maine",,1134,52,5,9.62,6,11.54,11,21.15,Cumberland,0.67,43.662809,-70.188442,0.67
Portland Public Schools,43.658784,-70.262393,Portland High School,"Portland High School, Maine",,1134,878,422,48.06,34,3.87,456,51.94,Cumberland,0.67,43.658784,-70.262393,0.67
Rsu 05,44.408078,-70.470703,Freeport High School,"Freeport High School, Maine",,3158,516,73,14.15,27,5.23,100,19.38,Cumberland,0.67,44.408078,-70.470703,0.67
Rsu 05,44.408078,-70.470703,Freeport Middle School,"Freeport Middle School, Maine",,3158,300,57,19,11,3.67,68,22.67,Cumberland,0.67,44.408078,-70.470703,0.67
Rsu 05,43.85758,-70.083661,Mast Landing School,"Mast Landing School, Maine",,3158,273,65,23.81,5,1.83,70,25.64,Cumberland,0.53,43.85758,-70.083661,0.53
Rsu 06/ Msad 06,43.771934,-70.639561,Steep Falls Elementary School,"Steep Falls Elementary School, Maine",,1200,118,40,33.9,8,6.78,48,40.68,Cumberland,0.67,43.771934,-70.639561,0.67
Rsu 14 Raymond/Windham,44.358014,-69.867001,Manchester School,"Manchester School, Maine",,3162,401,125,31.17,34,8.48,159,39.65,Cumberland,0.67,44.358014,-69.867001,0.67
Rsu 14 Raymond/Windham,43.794689,-70.405329,Windham High School,"Windham High School, Maine",,3162,1035,293,28.31,80,7.73,373,36.04,Cumberland,0.67,43.794689,-70.405329,0.67
Rsu 14 Raymond/Windham,43.794689,-70.405329,Windham Middle School,"Windham Middle School, Maine",,3162,600,166,27.67,47,7.83,213,35.5,Cumberland,0.67,43.794689,-70.405329,0.67
Rsu 14 Raymond/Windham,43.794689,-70.405329,Windham Primary School,"Windham Primary School, Maine",,3162,819,260,31.75,39,4.76,299,36.51,Cumberland,0.67,43.794689,-70.405329,0.67
Rsu 51/Msad 51,43.837951,-70.200114,North Yarmouth Memorial School,"North Yarmouth Memorial School, Maine",,1245,325,32,9.85,4,1.23,36,11.08,Cumberland,0.67,43.837951,-70.200114,0.67
Rsu 75/Msad 75,43.78105,-69.995537,Harpswell Islands School,"Harpswell Islands School, Maine",,1266,166,61,36.75,14,8.43,75,45.18,Cumberland,0.67,43.78105,-69.995537,0.67
Scarborough School Department,43.552306,-70.356438,Blue Point School,"Blue Point School, Maine",,1149,232,34,14.66,5,2.16,39,16.81,Cumberland,0.53,43.552306,-70.356438,0.53
Scarborough School Department,45.25672,-69.941728,Pleasant Hill School,"Pleasant Hill School, Maine",,1149,166,18,10.84,3,1.81,21,12.65,Cumberland,0.53,45.25672,-69.941728,0.53
Scarborough School Department,43.589627,-70.366191,Scarborough High School,"Scarborough High School, Maine",,1149,1043,115,11.03,41,3.93,156,14.96,Cumberland,0.67,43.589627,-70.366191,0.67
Scarborough School Department,43.589627,-70.366191,Scarborough Middle School,"Scarborough Middle School, Maine",,1149,790,115,14.56,39,4.94,154,19.49,Cumberland,0.67,43.589627,-70.366191,0.67
South Portland School Department,43.84092,-69.65866,South Portland High School,"South Portland High School, South Portland, Maine",,1155,852,263,30.87,46,5.4,309,36.27,Cumberland,0.67,43.84092,-69.65866,0.67
Spurwink School Inc,,,Spurwink-Cummings School,"Spurwink-Cummings School, Maine",,1375,50,34,68,0,0,34,68,Cumberland,0,,,0
Westbrook School Department,43.707947,-70.352614,Westbrook High School,"Westbrook High School, Westbrook, Maine",,1175,701,300,42.8,52,7.42,352,50.21,Cumberland,0.67,43.707947,-70.352614,0.67
Westbrook School Department,43.707947,-70.352614,Westbrook Middle School,"Westbrook Middle School, Maine",,1175,770,385,50,66,8.57,451,58.57,Cumberland,0.67,43.707947,-70.352614,0.67
Eustis Public Schools,45.14117,-70.44062,Stratton Elementary School,"Stratton Elementary School, Maine",,3229,74,36,48.65,7,9.46,43,58.11,Franklin,0.67,45.14117,-70.44062,0.67
Rsu 58/ Msad 58,45.063384,-70.381639,Kingfield Elementary School,"Kingfield Elementary School, Maine",,1252,153,53,34.64,17,11.11,70,45.75,Franklin,0.67,45.063384,-70.381639,0.67
Rsu 58/ Msad 58,44.814175,-70.187221,Strong Elementary School,"Strong Elementary School, Maine",,1252,176,84,47.73,30,17.05,114,64.77,Franklin,0.67,44.814175,-70.187221,0.67
Brooksville School Department,44.337581,-68.765568,Brooksville Elementary School,"Brooksville Elementary School, Maine",,1025,55,14,25.45,6,10.91,20,36.36,Hancock,0.67,44.337581,-68.765568,0.67
