dist-code,dist-name,name,enroll,free,free-percent,reduced,reduced-percent,eligible,eligible-percent
0,! Doe Inactive,Sabattus Central School,361,166,45.98,29,8.03,195,54.02
1007,Auburn School Department,Auburn Middle School,554,267,48.19,26,4.69,293,52.89
1007,Auburn School Department,East Auburn Community School,172,69,40.12,11,6.4,80,46.51
1007,Auburn School Department,Edward Little High School,1023,453,44.28,39,3.81,492,48.09
1007,Auburn School Department,Fairview School,576,167,28.99,22,3.82,189,32.81
1007,Auburn School Department,Park Avenue Elementary School,365,201,55.07,18,4.93,219,60
1007,Auburn School Department,Sherwood Heights Elementary Sch,411,225,54.74,16,3.89,241,58.64
1007,Auburn School Department,Walton School,304,178,58.55,31,10.2,209,68.75
1007,Auburn School Department,Washburn School,265,201,75.85,7,2.64,208,78.49
5027,Becket Family Of Services,Becket - Auburn,6,6,100,0,0,6,100
1088,Lewiston School Department,Farwell Elementary School,354,212,59.89,32,9.04,244,68.93
1088,Lewiston School Department,Governor James B Longley Elem Sch,346,341,98.55,0,0,341,98.55
1088,Lewiston School Department,Lewiston High School,1301,697,53.57,68,5.23,765,58.8
1088,Lewiston School Department,Lewiston Middle School,698,430,61.6,30,4.3,460,65.9
1088,Lewiston School Department,Martel School,301,187,62.13,18,5.98,205,68.11
1088,Lewiston School Department,Montello School,712,546,76.69,19,2.67,565,79.35
1088,Lewiston School Department,Raymond A. Geiger Elementary School,721,398,55.2,32,4.44,430,59.64
1088,Lewiston School Department,Thomas J Mcmahon Elementary Sch,544,279,51.29,27,4.96,306,56.25
1092,Lisbon School Department,Lisbon Community School,634,276,43.53,52,8.2,328,51.74
1092,Lisbon School Department,Lisbon High School,419,144,34.37,32,7.64,176,42
1092,Lisbon School Department,Philip W Sugg Middle School,280,115,41.07,25,8.93,140,50
5099,N F I North,N.F.I. Dirigo Place,7,3,42.86,0,0,3,42.86
5099,N F I North,N.F.I.Dodge House,7,7,100,0,0,7,100
5702,New Beginnings,New Beginnings Shelter,12,12,100,0,0,12,100
3157,Rsu 04,Oak Hill High School,445,144,32.36,33,7.42,177,39.78
