dist-code,dist-name,name,enroll,free,free-percent,reduced,reduced-percent,eligible,eligible-percent
1251,Rsu 57/Msad 57,Line Elementary,313,154,49.2,27,8.63,181,57.83
1251,Rsu 57/Msad 57,Lyman Elementary School,260,62,23.85,20,7.69,82,31.54
1251,Rsu 57/Msad 57,Massabesic High School,1123,315,28.05,122,10.86,437,38.91
1251,Rsu 57/Msad 57,Massabesic Middle School,817,270,33.05,81,9.91,351,42.96
1251,Rsu 57/Msad 57,Shapleigh Memorial School,167,55,32.93,10,5.99,65,38.92
1251,Rsu 57/Msad 57,Waterboro Elementary School,545,214,39.27,60,11.01,274,50.28
1254,Rsu 60/Msad 60,Eric L Knowlton School,277,87,31.41,25,9.03,112,40.43
1254,Rsu 60/Msad 60,Lebanon School,442,192,43.44,41,9.28,233,52.71
1254,Rsu 60/Msad 60,Noble High School,1017,288,28.32,86,8.46,374,36.77
1254,Rsu 60/Msad 60,Noble Middle School,458,139,30.35,48,10.48,187,40.83
1254,Rsu 60/Msad 60,North Berwick Elementary School,324,77,23.77,22,6.79,99,30.56
1254,Rsu 60/Msad 60,Vivian E Hussey Primary,525,172,32.76,35,6.67,207,39.43
1148,Sanford School Department,Carl J Lamb School,558,305,54.66,41,7.35,346,62.01
1148,Sanford School Department,Emerson School,135,92,68.15,16,11.85,108,80
1148,Sanford School Department,Lafayette School,96,66,68.75,6,6.25,72,75
1148,Sanford School Department,Margaret Chase Smith Sch.-Sanford,391,188,48.08,28,7.16,216,55.24
1148,Sanford School Department,Sanford High School,1249,481,38.51,64,5.12,545,43.63
1148,Sanford School Department,Sanford Jr High School,449,212,47.22,38,8.46,250,55.68
1148,Sanford School Department,Willard School,472,259,54.87,36,7.63,295,62.5
1401,St Thomas School,St Thomas School,119,8,6.72,2,1.68,10,8.4
1396,Sweetser Children'S Services,Sweetser Children'S Service,53,53,100,0,0,53,100
1293,Wells-Ogunquit Csd,Wells Elementary School,506,89,17.59,25,4.94,114,22.53
1293,Wells-Ogunquit Csd,Wells High School,447,71,15.88,31,6.94,102,22.82
1293,Wells-Ogunquit Csd,Wells Junior High School,463,81,17.49,30,6.48,111,23.97
1191,York School Department,Coastal Ridge Elementary,335,44,13.13,11,3.28,55,16.42
1191,York School Department,Village Elementary School-York,321,44,13.71,8,2.49,52,16.2
1191,York School Department,York High School,597,70,11.73,14,2.35,84,14.07
1191,York School Department,York Middle School,619,83,13.41,12,1.94,95,15.35
