dist-code,dist-name,origname,name,enroll,free,free-percent,reduced,reduced-percent,eligible,eligible-percent
21,Zzz Augusta,Zzz Cony High School (New),Cony High School (New),948,272,28.69,80,8.44,352,37.13
21,Zzz Augusta,Zzz Ella R Hodgkins School,Ella R Hodgkins School,314,126,40.13,26,8.28,152,48.41
21,Zzz Augusta,Zzz Farrington School,Farrington School,384,202,52.6,41,10.68,243,63.28
21,Zzz Augusta,Zzz Lillian Parks Hussey School,Lillian Parks Hussey School,206,77,37.38,11,5.34,88,42.72
21,Zzz Augusta,Zzz Lincoln School Augusta,Lincoln School Augusta,297,165,55.56,20,6.73,185,62.29
21,Zzz Augusta,Zzz Sylvio J Gilbert School,Sylvio J Gilbert School,359,220,61.28,34,9.47,254,70.75
90,Zzz Chelsea Union 132,Zzz Chelsea Elementary School,Chelsea Elementary School,253,70,27.67,27,10.67,97,38.34
94,Zzz China Union 052,Zzz China Middle School,China Middle School,227,62,27.31,20,8.81,82,36.12
94,Zzz China Union 052,Zzz China Primary School,China Primary School,251,89,35.46,20,7.97,109,43.43
951,Zzz Erskine Academy,Zzz Erskine Academy,Erskine Academy,752,118,15.69,38,5.05,156,20.74
154,Zzz Fayette,Zzz Fayette Central School,Fayette Central School,65,20,30.77,3,4.62,23,35.38
243,Zzz Litchfield Union 44,Zzz Carrie Ricker Middle School,Carrie Ricker Middle School,213,79,37.09,23,10.8,102,47.89
243,Zzz Litchfield Union 44,Zzz Libby-Tozier School,Libby-Tozier School,137,53,38.69,16,11.68,69,50.36
260,Zzz Manchester Union 42,Zzz Manchester Elementary School Union,Manchester Elementary School Union,177,21,11.86,11,6.21,32,18.08
910,Zzz Maranacook Csd,Zzz Maranacook Community School,Maranacook Community School,462,76,16.45,24,5.19,100,21.65
910,Zzz Maranacook Csd,Zzz Maranacook Middle School,Maranacook Middle School,294,66,22.45,20,6.8,86,29.25
910,Zzz Maranacook Csd,Zzz Phoenix Academy,Phoenix Academy,13,13,100,0,0,13,100
701,Zzz Mental Health,Zzz Levinson Center,Levinson Center,20,13,65,0,0,13,65
281,Zzz Monmouth,Zzz Henry L. Cottrell,Henry L. Cottrell,215,74,34.42,22,10.23,96,44.65
281,Zzz Monmouth,Zzz Monmouth Academy,Monmouth Academy,265,62,23.4,18,6.79,80,30.19
281,Zzz Monmouth,Zzz Monmouth Middle School,Monmouth Middle School,294,109,37.07,23,7.82,132,44.9
292,Zzz Mount Vernon Union 42,Zzz Mt Vernon Elementary School,Mt Vernon Elementary School,122,41,33.61,15,12.3,56,45.9
838,Zzz Mt. Merci Elem. School,Zzz Mt Merici Elementary School,Mt Merici Elementary School,193,1,0.52,4,2.07,5,2.59
725,Zzz N F I Sidney Riverbend,Zzz Sidney Riverbend,Sidney Riverbend,8,6,75,0,0,6,75
363,Zzz Readfield Union 42,Zzz Readfield Elementary School,Readfield Elementary School,203,51,25.12,18,8.87,69,33.99
511,Zzz Sad 11,Zzz Gardiner Area High School,Gardiner Area High School,730,176,24.11,34,4.66,210,28.77
511,Zzz Sad 11,Zzz Gardiner Regional Middle Sch,Gardiner Regional Middle Sch,501,164,32.73,33,6.59,197,39.32
511,Zzz Sad 11,Zzz Helen Thompson School,Helen Thompson School,260,68,26.15,11,4.23,79,30.38
511,Zzz Sad 11,Zzz Laura E Richards School,Laura E Richards School,261,91,34.87,15,5.75,106,40.61
511,Zzz Sad 11,Zzz Pittston Consolidated School,Pittston Consolidated School,162,57,35.19,13,8.02,70,43.21
511,Zzz Sad 11,Zzz Teresa C Hamlin Elem Sch,Teresa C Hamlin Elem Sch,97,47,48.45,5,5.15,52,53.61
511,Zzz Sad 11,Zzz River View Community School,River View Community School,198,101,51.01,13,6.57,114,57.58
