dist-code,dist-name,origname,name,enroll,free,free-percent,reduced,reduced-percent,eligible,eligible-percent
27,Zzz Bangor,Zzz Fourteenth Street School,Fourteenth Street School,152,34,22.37,10,6.58,44,28.95
27,Zzz Bangor,Zzz Fruit Street School,Fruit Street School,318,74,23.27,28,8.81,102,32.08
27,Zzz Bangor,Zzz James F Doughty / Fifth Street Sch,James F Doughty / Fifth Street Sch,427,207,48.48,33,7.73,240,56.21
27,Zzz Bangor,Zzz Mary Snow School,Mary Snow School,248,67,27.02,19,7.66,86,34.68
27,Zzz Bangor,Zzz Vine Street School,Vine Street School,257,129,50.19,17,6.61,146,56.81
27,Zzz Bangor,Zzz William S. Cohen School,William S. Cohen School,384,77,20.05,27,7.03,104,27.08
51,Zzz Bradley Union 090,Zzz Viola Rand School,Viola Rand School,94,17,18.09,16,17.02,33,35.11
53,Zzz Brewer,Zzz Brewer High School,Brewer High School,785,138,17.58,29,3.69,167,21.27
53,Zzz Brewer,Zzz Brewer Middle School,Brewer Middle School,294,76,25.85,10,3.4,86,29.25
53,Zzz Brewer,Zzz Capri Street School,Capri Street School,128,59,46.09,5,3.91,64,50
53,Zzz Brewer,Zzz State Street School,State Street School,187,56,29.95,11,5.88,67,35.83
53,Zzz Brewer,Zzz Washington Street School,Washington Street School,344,112,32.56,16,4.65,128,37.21
136,Zzz E Millinocket Union 113,Zzz Opal Myrick Elementary School,Opal Myrick Elementary School,169,87,51.48,24,14.2,111,65.68
136,Zzz E Millinocket Union 113,Zzz Schenck High School,Schenck High School,184,75,40.76,21,11.41,96,52.17
169,Zzz Glenburn,Zzz Glenburn Elementary School,Glenburn Elementary School,411,90,21.9,22,5.35,112,27.25
177,Zzz Greenbush Union 90,Zzz Helen S Dunn Elementary Sch,Helen S Dunn Elementary Sch,160,68,42.5,21,13.13,89,55.63
197,Zzz Hermon,Zzz Hermon Elementary School,Hermon Elementary School,355,74,20.85,17,4.79,91,25.63
197,Zzz Hermon,Zzz Hermon High School,Hermon High School,547,83,15.17,24,4.39,107,19.56
197,Zzz Hermon,Zzz Hermon Middle School,Hermon Middle School,276,42,15.22,16,5.8,58,21.01
791,Zzz Indian Island Sch (Formerly Penobscot Tribal),Zzz Indian Island School,Indian Island School,127,70,55.12,38,29.92,108,85.04
604,Zzz Kingman Eut,Zzz Kingman Elementary,Kingman Elementary,22,21,95.45,1,4.55,22,100
842,Zzz Lee Academy 842,Zzz Lee Academy,Lee Academy,269,100,37.17,30,11.15,130,48.33
271,Zzz Medway Union 113,Zzz Medway Middle School,Medway Middle School,161,77,47.83,20,12.42,97,60.25
276,Zzz Milford Union 90,Zzz Dr Lewis S Libby School,Dr Lewis S Libby School,295,125,42.37,30,10.17,155,52.54
277,Zzz Millinocket,Zzz Granite Street School,Granite Street School,218,117,53.67,12,5.5,129,59.17
277,Zzz Millinocket,Zzz Millinocket Middle School,Millinocket Middle School,141,63,44.68,17,12.06,80,56.74
277,Zzz Millinocket,Zzz Stearns High School,Stearns High School,233,97,41.63,25,10.73,122,52.36
88,Zzz Mountain View Youth Development Center,Zzz Mountain View Youth Development Ce,Mountain View Youth Development Ce,74,73,98.65,0,0,73,98.65
740,Zzz N F I Stetson Ranch,Zzz Stetson Ranch,Stetson Ranch,9,8,88.89,0,0,8,88.89
738,Zzz N F I Summit View,Zzz Bangor Independent Living,Bangor Independent Living,6,6,100,0,0,6,100
321,Zzz Old Town,Zzz Leonard Middle School,Leonard Middle School,287,90,31.36,25,8.71,115,40.07
321,Zzz Old Town,Zzz Old Town Elem,Old Town Elem,506,239,47.23,38,7.51,277,54.74
321,Zzz Old Town,Zzz Old Town High School,Old Town High School,608,180,29.61,51,8.39,231,37.99
324,Zzz Orono Union 087,Zzz Asa C Adams School,Asa C Adams School,247,66,26.72,3,1.21,69,27.94
324,Zzz Orono Union 087,Zzz Orono High School,Orono High School,367,82,22.34,9,2.45,91,24.8
324,Zzz Orono Union 087,Zzz Orono Middle School,Orono Middle School,150,33,22,2,1.33,35,23.33
325,Zzz Orrington Union 91,Zzz Center Drive School,Center Drive School,402,93,23.13,17,4.23,110,27.36
522,Zzz Sad 22,Zzz Earl C Mcgraw School,Earl C Mcgraw School,257,37,14.4,9,3.5,46,17.9
522,Zzz Sad 22,Zzz George B. Weatherbee School,George B. Weatherbee School,294,49,16.67,12,4.08,61,20.75
522,Zzz Sad 22,Zzz Hampden Academy,Hampden Academy,740,127,17.16,40,5.41,167,22.57
522,Zzz Sad 22,Zzz Newburgh Elementary School,Newburgh Elementary School,93,34,36.56,10,10.75,44,47.31
522,Zzz Sad 22,Zzz Reeds Brook Middle School,Reeds Brook Middle School,379,43,11.35,23,6.07,66,17.41
523,Zzz Sad 23,Zzz Caravel Middle School,Caravel Middle School,198,69,34.85,25,12.63,94,47.47
523,Zzz Sad 23,Zzz Carmel Elementary School,Carmel Elementary School,248,96,38.71,25,10.08,121,48.79
523,Zzz Sad 23,Zzz Suzanne M. Smith Elem School,Suzanne M. Smith Elem School,220,70,31.82,23,10.45,93,42.27
525,Zzz Sad 25,Zzz Katahdin High / Middle School,Katahdin High / Middle School,213,94,44.13,27,12.68,121,56.81
530,Zzz Sad 30,Zzz Lee/Winn School,Lee/Winn School,101,55,54.46,17,16.83,72,71.29
530,Zzz Sad 30,Zzz Mt Jefferson Jr High Sch,Mt Jefferson Jr High Sch,104,54,51.92,15,14.42,69,66.35
531,Zzz Sad 31,Zzz Enfield Station Elementary Sch,Enfield Station Elementary Sch,248,110,44.35,31,12.5,141,56.85
531,Zzz Sad 31,Zzz Hichborn Middle School,Hichborn Middle School,119,52,43.7,18,15.13,70,58.82
531,Zzz Sad 31,Zzz Penobscot Valley High School,Penobscot Valley High School,208,77,37.02,27,12.98,104,50
538,Zzz Sad 38,Zzz Etna-Dixmont Elementary School,Etna-Dixmont Elementary School,281,108,38.43,42,14.95,150,53.38
541,Zzz Sad 41,Zzz Marion C Cook School,Marion C Cook School,50,26,52,9,18,35,70
546,Zzz Sad 46,Zzz Dexter Middle School,Dexter Middle School,289,170,58.82,28,9.69,198,68.51
546,Zzz Sad 46,Zzz Dexter Primary School,Dexter Primary School,255,209,81.96,23,9.02,232,90.98
546,Zzz Sad 46,Zzz Dexter Regional High School,Dexter Regional High School,475,259,54.53,42,8.84,301,63.37
546,Zzz Sad 46,Zzz Exeter Consolidated School,Exeter Consolidated School,66,33,50,9,13.64,42,63.64
546,Zzz Sad 46,Zzz Garland Elementary School,Garland Elementary School,78,46,58.97,13,16.67,59,75.64
548,Zzz Sad 48,Zzz Corinna Elementary School,Corinna Elementary School,174,83,47.7,23,13.22,106,60.92
548,Zzz Sad 48,Zzz Newport Elementary School,Newport Elementary School,298,115,38.59,39,13.09,154,51.68
548,Zzz Sad 48,Zzz Nokomis Regional High School,Nokomis Regional High School,744,299,40.19,83,11.16,382,51.34
548,Zzz Sad 48,Zzz Sebasticook Valley Middle School,Sebasticook Valley Middle School,346,139,40.17,44,12.72,183,52.89
563,Zzz Sad 63,Zzz Eddington School,Eddington School,157,48,30.57,6,3.82,54,34.39
563,Zzz Sad 63,Zzz Holbrook School,Holbrook School,279,52,18.64,13,4.66,65,23.3
563,Zzz Sad 63,Zzz Holden School,Holden School,167,36,21.56,4,2.4,40,23.95
564,Zzz Sad 64,Zzz Bradford Elementary School,Bradford Elementary School,100,56,56,10,10,66,66
564,Zzz Sad 64,Zzz Central High School,Central High School,376,136,36.17,26,6.91,162,43.09
564,Zzz Sad 64,Zzz Central Middle School,Central Middle School,272,100,36.76,32,11.76,132,48.53
564,Zzz Sad 64,Zzz Hudson Elementary School,Hudson Elementary School,48,17,35.42,8,16.67,25,52.08
564,Zzz Sad 64,Zzz Kenduskeag Elementary School,Kenduskeag Elementary School,146,62,42.47,14,9.59,76,52.05
564,Zzz Sad 64,Zzz Morison Memorial School,Morison Memorial School,225,96,42.67,16,7.11,112,49.78
564,Zzz Sad 64,Zzz Stetson Elementary School,Stetson Elementary School,55,19,34.55,6,10.91,25,45.45
567,Zzz Sad 67,Zzz Ella Burr School,Ella Burr School,393,188,47.84,31,7.89,219,55.73
567,Zzz Sad 67,Zzz Mattanawcook Academy,Mattanawcook Academy,435,160,36.78,45,10.34,205,47.13
567,Zzz Sad 67,Zzz Mattanawcook Jr High Sch,Mattanawcook Jr High Sch,362,141,38.95,44,12.15,185,51.1
567,Zzz Sad 67,Zzz No Penobscot Tech High School Regio,No Penobscot Tech High School Regio,211,79,37.44,18,8.53,97,45.97
440,Zzz Veazie Union 87,Zzz Veazie Community School,Veazie Community School,162,37,22.84,4,2.47,41,25.31
953,Zzz Foxcroft Academy,Zzz Foxcroft Academy,Foxcroft Academy,430,101,23.49,34,7.91,135,31.4
180,Zzz Greenville Union 60,Zzz Greenville High School,Greenville High School,146,42,28.77,21,14.38,63,43.15
180,Zzz Greenville Union 60,Zzz Nickerson Elementary Sch,Nickerson Elementary Sch,94,42,44.68,13,13.83,55,58.51
504,Zzz Sad 04,Zzz Carroll L Mckusick School,Carroll L Mckusick School,120,75,62.5,8,6.67,83,69.17
504,Zzz Sad 04,Zzz Guilford Primary School,Guilford Primary School,87,42,48.28,9,10.34,51,58.62
504,Zzz Sad 04,Zzz Piscataquis Community Middle,Piscataquis Community Middle,264,113,42.8,37,14.02,150,56.82
504,Zzz Sad 04,Zzz Piscataquis Community High Sch,Piscataquis Community High Sch,256,125,48.83,31,12.11,156,60.94
541,Zzz Sad 41,Zzz Brownville Elementary School,Brownville Elementary School,111,58,52.25,14,12.61,72,64.86
541,Zzz Sad 41,Zzz Milo Elementary School,Milo Elementary School,240,150,62.5,29,12.08,179,74.58
541,Zzz Sad 41,Zzz Penquis Valley High School,Penquis Valley High School,359,174,48.47,43,11.98,217,60.45
568,Zzz Sad 68,Zzz Monson Elementary School,Monson Elementary School,34,14,41.18,5,14.71,19,55.88
568,Zzz Sad 68,Zzz Se Do Mo Cha Elementary,Se Do Mo Cha Elementary,292,115,39.38,24,8.22,139,47.6
568,Zzz Sad 68,Zzz Se Do Mo Cha Middle School,Se Do Mo Cha Middle School,336,132,39.29,35,10.42,167,49.7
392,Zzz Shirley,Zzz Shirley Elementary School,Shirley Elementary School,5,3,60,0,0,3,60
167,Zzz Georgetown Union 047,Zzz Georgetown Central School,Georgetown Central School,63,12,19.05,5,7.94,17,26.98
737,Zzz Oliver Place Nfi,Zzz Oliver Place,Oliver Place,12,6,50,0,0,6,50
801,Zzz R S U #1,Zzz Bath Middle School Rsu1,Bath Middle School Rsu1,378,131,34.66,21,5.56,152,40.21
801,Zzz R S U #1,Zzz Dike-Newell School,Dike-Newell School,273,143,52.38,20,7.33,163,59.71
801,Zzz R S U #1,Zzz Fisher-Mitchell School,Fisher-Mitchell School,250,121,48.4,20,8,141,56.4
801,Zzz R S U #1,Zzz Morse High School,Morse High School,755,174,23.05,34,4.5,208,27.55
801,Zzz R S U #1,Zzz Phippsburg School,Phippsburg School,120,33,27.5,6,5,39,32.5
801,Zzz R S U #1,Zzz West Bath School,West Bath School,119,27,22.69,12,10.08,39,32.77
801,Zzz R S U #1,Zzz Woolwich School,Woolwich School,307,68,22.15,14,4.56,82,26.71
365,Zzz Richmond,Zzz Marcia Buker School,Marcia Buker School,215,79,36.74,19,8.84,98,45.58
365,Zzz Richmond,Zzz Richmond High School,Richmond High School,141,41,29.08,8,5.67,49,34.75
365,Zzz Richmond,Zzz Richmond Middle School,Richmond Middle School,117,37,31.62,12,10.26,49,41.88
575,Zzz Sad 75,Zzz Bowdoin Central School,Bowdoin Central School,219,67,30.59,16,7.31,83,37.9
575,Zzz Sad 75,Zzz Bowdoinham Community School,Bowdoinham Community School,184,49,26.63,16,8.7,65,35.33
575,Zzz Sad 75,Zzz Mt Ararat High School,Mt Ararat High School,947,153,16.16,68,7.18,221,23.34
575,Zzz Sad 75,Zzz Mt Ararat Middle School,Mt Ararat Middle School,665,114,17.14,52,7.82,166,24.96
575,Zzz Sad 75,Zzz Williams-Cone School,Williams-Cone School,242,26,10.74,23,9.5,49,20.25
575,Zzz Sad 75,Zzz Woodside Elementary School,Woodside Elementary School,400,85,21.25,36,9,121,30.25
703,Zzz Youth Alternatives,Zzz Perry'S Place,Perry'S Place,6,6,100,0,0,6,100
0,! Doe Inactive,Zzz Central Elementary School Sad 74,Central Elementary School Sad 74,17,7,41.18,2,11.76,9,52.94
721,Zzz Good Will - Hinkley,Zzz Averill School,Averill School,100,70,70,0,0,70,70
189,Zzz Harmony,Zzz Harmony Elementary,Harmony Elementary,93,46,49.46,7,7.53,53,56.99
960,Zzz Me Central Inst,Zzz Maine Central Institute,Maine Central Institute,468,67,14.32,15,3.21,82,17.52
606,Zzz Rockwood Eut,Zzz Rockwood Elementary,Rockwood Elementary,2,2,100,0,0,2,100
512,Zzz Sad 12,Zzz Forest Hills Consolidated Sch,Forest Hills Consolidated Sch,187,45,24.06,24,12.83,69,36.9
513,Zzz Sad 13,Zzz Moscow Elementary,Moscow Elementary,81,42,51.85,7,8.64,49,60.49
513,Zzz Sad 13,Zzz Quimby Elementary School,Quimby Elementary School,72,34,47.22,8,11.11,42,58.33
513,Zzz Sad 13,Zzz Upper Kennebec Valley Jr-Sr Hs,Upper Kennebec Valley Jr-Sr Hs,86,46,53.49,4,4.65,50,58.14
548,Zzz Sad 48,Zzz Hartland Consolidated School,Hartland Consolidated School,142,87,61.27,11,7.75,98,69.01
548,Zzz Sad 48,Zzz Palmyra Consolidated School,Palmyra Consolidated School,106,53,50,8,7.55,61,57.55
548,Zzz Sad 48,Zzz Somerset Valley Middle School,Somerset Valley Middle School,260,140,53.85,18,6.92,158,60.77
548,Zzz Sad 48,Zzz St Albans Consolidated,St Albans Consolidated,103,62,60.19,9,8.74,71,68.93
549,Zzz Sad 49,Zzz Fairfield Primary School,Fairfield Primary School,168,73,43.45,17,10.12,90,53.57
549,Zzz Sad 49,Zzz Lawrence High School,Lawrence High School,804,251,31.22,72,8.96,323,40.17
549,Zzz Sad 49,Zzz Lawrence Jr High School,Lawrence Jr High School,373,120,32.17,42,11.26,162,43.43
553,Zzz Sad 53,Zzz Manson Park School,Manson Park School,108,55,50.93,7,6.48,62,57.41
553,Zzz Sad 53,Zzz Vickery School,Vickery School,240,131,54.58,55,22.92,186,77.5
553,Zzz Sad 53,Zzz Warsaw Middle School,Warsaw Middle School,331,194,58.61,41,12.39,235,71
554,Zzz Sad 54,Zzz Bloomfield Elementary School,Bloomfield Elementary School,328,182,55.49,25,7.62,207,63.11
554,Zzz Sad 54,Zzz Canaan Elementary School,Canaan Elementary School,229,121,52.84,82,35.81,203,88.65
554,Zzz Sad 54,Zzz Cornville Elementary School,Cornville Elementary School,83,32,38.55,11,13.25,43,51.81
554,Zzz Sad 54,Zzz Margaret Chase Smith School Sad 54,Margaret Chase Smith School Sad 54,239,102,42.68,21,8.79,123,51.46
554,Zzz Sad 54,Zzz Mill Stream School,Mill Stream School,377,171,45.36,48,12.73,219,58.09
554,Zzz Sad 54,Zzz North Elementary School,North Elementary School,157,87,55.41,12,7.64,99,63.06
554,Zzz Sad 54,Zzz Skowhegan Area High School,Skowhegan Area High School,917,322,35.11,90,9.81,412,44.93
554,Zzz Sad 54,Zzz Skowhegan Area Middle School,Skowhegan Area Middle School,426,172,40.38,46,10.8,218,51.17
559,Zzz Sad 59,Zzz Athens Elementary School,Athens Elementary School,150,71,47.33,26,17.33,97,64.67
559,Zzz Sad 59,Zzz Madison Area Memorial H S,Madison Area Memorial H S,268,120,44.78,39,14.55,159,59.33
559,Zzz Sad 59,Zzz Madison Elementary School,Madison Elementary School,304,153,50.33,30,9.87,183,60.2
559,Zzz Sad 59,Zzz Madison Junior High School,Madison Junior High School,265,120,45.28,27,10.19,147,55.47
559,Zzz Sad 59,Zzz Starks Elementary School,Starks Elementary School,25,20,80,1,4,21,84
574,Zzz Sad 74,Zzz Carrabec Community School,Carrabec Community School,300,139,46.33,36,12,175,58.33
574,Zzz Sad 74,Zzz Carrabec High School,Carrabec High School,270,120,44.44,23,8.52,143,52.96
574,Zzz Sad 74,Zzz Embden Elementary School,Embden Elementary School,42,16,38.1,2,4.76,18,42.86
574,Zzz Sad 74,Zzz Garret Schenck Elementary,Garret Schenck Elementary,98,59,60.2,7,7.14,66,67.35
574,Zzz Sad 74,Zzz Solon Elementary School,Solon Elementary School,78,44,56.41,7,8.97,51,65.38
722,Zzz Youth Serv. Plng/Dev Coun,Zzz Halcyon House,Halcyon House,10,10,100,0,0,10,100
211,Zzz Islesboro,Zzz Islesboro Central School,Islesboro Central School,84,12,14.29,5,5.95,17,20.24
240,Zzz Lincolnville,Zzz Lincolnville Central School,Lincolnville Central School,195,37,18.97,13,6.67,50,25.64
332,Zzz Palermo Union 133,Zzz Palermo Consolidated School,Palermo Consolidated School,136,35,25.74,8,5.88,43,31.62
503,Zzz Sad 03,Zzz Monroe Elementary School,Monroe Elementary School,65,39,60,1,1.54,40,61.54
503,Zzz Sad 03,Zzz Morse Memorial School,Morse Memorial School,135,71,52.59,20,14.81,91,67.41
503,Zzz Sad 03,Zzz Mt View Elementary School,Mt View Elementary School,216,136,62.96,20,9.26,156,72.22
503,Zzz Sad 03,Zzz Mt View High School,Mt View High School,492,227,46.14,69,14.02,296,60.16
503,Zzz Sad 03,Zzz Mt View Jr High School,Mt View Jr High School,208,98,47.12,29,13.94,127,61.06
503,Zzz Sad 03,Zzz Troy Central School,Troy Central School,113,55,48.67,13,11.5,68,60.18
503,Zzz Sad 03,Zzz Unity Elementary School,Unity Elementary School,126,87,69.05,10,7.94,97,76.98
503,Zzz Sad 03,Zzz Walker Memorial School,Walker Memorial School,122,62,50.82,23,18.85,85,69.67
522,Zzz Sad 22,Zzz Leroy H Smith School,Leroy H Smith School,276,109,39.49,24,8.7,133,48.19
522,Zzz Sad 22,Zzz Samuel L Wagner Middle Sch,Samuel L Wagner Middle Sch,140,45,32.14,17,12.14,62,44.29
534,Zzz Sad 34,Zzz Ames Elementary School,Ames Elementary School,139,49,35.25,19,13.67,68,48.92
534,Zzz Sad 34,Zzz Belfast Area High School,Belfast Area High School,643,224,34.84,56,8.71,280,43.55
534,Zzz Sad 34,Zzz Capt. Albert Stevens School,Capt. Albert Stevens School,304,127,41.78,29,9.54,156,51.32
534,Zzz Sad 34,Zzz East Belfast School,East Belfast School,112,64,57.14,8,7.14,72,64.29
534,Zzz Sad 34,Zzz Edna Drinkwater School,Edna Drinkwater School,96,37,38.54,5,5.21,42,43.75
534,Zzz Sad 34,Zzz Gladys Weymouth Elem Sch,Gladys Weymouth Elem Sch,89,31,34.83,13,14.61,44,49.44
534,Zzz Sad 34,Zzz Kermit S Nickerson School,Kermit S Nickerson School,82,60,73.17,7,8.54,67,81.71
534,Zzz Sad 34,Zzz Troy A. Howard Middle School,Troy A. Howard Middle School,399,149,37.34,44,11.03,193,48.37
553,Zzz Sad 53,Zzz Burnham Village School,Burnham Village School,70,40,57.14,10,14.29,50,71.43
556,Zzz Sad 56,Zzz Frankfort Elementary School,Frankfort Elementary School,99,55,55.56,6,6.06,61,61.62
556,Zzz Sad 56,Zzz Searsport District H S,Searsport District H S,225,100,44.44,17,7.56,117,52
556,Zzz Sad 56,Zzz Searsport District Middle Sch,Searsport District Middle Sch,157,80,50.96,13,8.28,93,59.24
556,Zzz Sad 56,Zzz Searsport Elementary,Searsport Elementary,201,89,44.28,18,8.96,107,53.23
556,Zzz Sad 56,Zzz Stockton Springs Elem School,Stockton Springs Elem School,81,26,32.1,11,13.58,37,45.68
724,Zzz Sweetser Childrens Serv.,Zzz Belfast Family Focus,Belfast Family Focus,5,4,80,0,0,4,80
724,Zzz Sweetser Childrens Serv.,Zzz Belfast Me Crisis Unit,Belfast Me Crisis Unit,6,6,100,0,0,6,100
724,Zzz Sweetser Childrens Serv.,Zzz Plymouth Farm Family Focus,Plymouth Farm Family Focus,5,3,60,0,0,3,60
724,Zzz Sweetser Childrens Serv.,Zzz Plymouth Farm Sis,Plymouth Farm Sis,6,6,100,0,0,6,100
724,Zzz Sweetser Childrens Serv.,Zzz Robertson School,Robertson School,20,14,70,0,0,14,70
724,Zzz Sweetser Childrens Serv.,Zzz Sis Belfast Maine,Sis Belfast Maine,8,6,75,0,0,6,75
852,Zzz Trinity Catholic School,Zzz Trinity Elementary Campus,Trinity Elementary Campus,302,7,2.32,10,3.31,17,5.63
0,! Doe Inactive,Zzz Columbia Falls Elementary,Columbia Falls Elementary,81,29,35.8,16,19.75,45,55.56
5,Zzz Alexander Union 106,Zzz Alexander Elementary,Alexander Elementary,66,19,28.79,8,12.12,27,40.91
24,Zzz Baileyville Union 107,Zzz Woodland Elementary School,Woodland Elementary School,149,75,50.34,15,10.07,90,60.4
24,Zzz Baileyville Union 107,Zzz Woodland Jr-Sr High School,Woodland Jr-Sr High School,249,80,32.13,26,10.44,106,42.57
31,Zzz Beals Union 103,Zzz Beals Elementary School,Beals Elementary School,36,19,52.78,1,2.78,20,55.56
70,Zzz Calais Union 106,Zzz Calais Elementary School,Calais Elementary School,272,145,53.31,19,6.99,164,60.29
70,Zzz Calais Union 106,Zzz Calais High School,Calais High School,299,109,36.45,26,8.7,135,45.15
70,Zzz Calais Union 106,Zzz Calais Middle School,Calais Middle School,110,51,46.36,12,10.91,63,57.27
89,Zzz Charlotte Union 104,Zzz Charlotte Elementary School,Charlotte Elementary School,42,17,40.48,5,11.9,22,52.38
111,Zzz Cutler School Dept.,Zzz Bay Ridge Elem,Bay Ridge Elem,58,27,46.55,2,3.45,29,50
135,Zzz East Machais,Zzz Elm St School (East Machais),Elm St School (East Machais),186,86,46.24,30,16.13,116,62.37
912,Zzz East Range Csd,Zzz East Range Csd School,East Range Csd School,43,15,34.88,12,27.91,27,62.79
138,Zzz Eastport Union 104,Zzz Eastport Elementary School,Eastport Elementary School,103,50,48.54,19,18.45,69,66.99
138,Zzz Eastport Union 104,Zzz Shead High School,Shead High School,138,67,48.55,18,13.04,85,61.59
603,Zzz Edmunds,Zzz Edmunds Consolidated,Edmunds Consolidated,80,30,37.5,9,11.25,39,48.75
792,Zzz Indian Township School,Zzz Indian Township School,Indian Township School,120,88,73.33,5,4.17,93,77.5
216,Zzz Jonesboro Union 102,Zzz Jonesboro Elementary School,Jonesboro Elementary School,51,26,50.98,3,5.88,29,56.86
217,Zzz Jonesport Union 103,Zzz Jonesport Elementary School,Jonesport Elementary School,113,64,56.64,7,6.19,71,62.83
253,Zzz Machias Union 102,Zzz Machais Memorial High School,Machais Memorial High School,126,59,46.83,10,7.94,69,54.76
253,Zzz Machias Union 102,Zzz Rose M Gaffney School,Rose M Gaffney School,315,160,50.79,22,6.98,182,57.78
254,Zzz Machiasport School Dept.,Zzz Fort O'Brien,Fort O'Brien,45,29,64.44,6,13.33,35,77.78
917,Zzz Moosabec Csd,Zzz Jonesport-Beals High School,Jonesport-Beals High School,86,39,45.35,6,6.98,45,52.33
339,Zzz Pembroke Union 104,Zzz Pembroke Elementary School,Pembroke Elementary School,105,49,46.67,20,19.05,69,65.71
342,Zzz Perry Union 104,Zzz Perry Elementary School,Perry Elementary School,113,50,44.25,15,13.27,65,57.52
793,Zzz Pleasant Pt Tribal Sc Com,Zzz Beatrice Rafferty School,Beatrice Rafferty School,99,79,79.8,8,8.08,87,87.88
357,Zzz Princeton Union 107,Zzz Princeton Elementary School,Princeton Elementary School,121,68,56.2,15,12.4,83,68.6
367,Zzz Robbinston Union 106,Zzz Robbinston Grade School,Robbinston Grade School,72,44,61.11,4,5.56,48,66.67
514,Zzz Sad 14,Zzz East Grand School,East Grand School,157,101,64.33,21,13.38,122,77.71
519,Zzz Sad 19,Zzz Lubec Consolidated School,Lubec Consolidated School,162,124,76.54,0,0,124,76.54
537,Zzz Sad 37,Zzz Cherryfield Elementary,Cherryfield Elementary,89,41,46.07,12,13.48,53,59.55
537,Zzz Sad 37,Zzz Daniel W Merritt School,Daniel W Merritt School,102,47,46.08,22,21.57,69,67.65
537,Zzz Sad 37,Zzz Harrington Elementary School,Harrington Elementary School,132,67,50.76,21,15.91,88,66.67
537,Zzz Sad 37,Zzz Milbridge Elementary School,Milbridge Elementary School,105,53,50.48,16,15.24,69,65.71
537,Zzz Sad 37,Zzz Narraguagus High School,Narraguagus High School,249,85,34.14,21,8.43,106,42.57
411,Zzz Steuben Union 096,Zzz Ella Lewis School,Ella Lewis School,92,45,48.91,13,14.13,58,63.04
438,Zzz Vanceboro Union 108,Zzz Vanceboro Elementary School,Vanceboro Elementary School,20,7,35,1,5,8,40
898,Zzz Washington Academy,Zzz Washington Academy,Washington Academy,438,87,19.86,36,8.22,123,28.08
463,Zzz Wesley Union 102,Zzz Wesley Elementary School,Wesley Elementary School,7,3,42.86,2,28.57,5,71.43
474,Zzz Whiting School Dept.,Zzz Whiting Village School,Whiting Village School,38,13,34.21,9,23.68,22,57.89
0,! Doe Inactive,Zzz Sanford Family Focus,Sanford Family Focus,6,4,66.67,0,0,4,66.67
2,Zzz Acton,Zzz Acton Elementary School,Acton Elementary School,271,80,29.52,28,10.33,108,39.85
16,Zzz Arundel,Zzz Mildred L Day School,Mildred L Day School,264,41,15.53,5,1.89,46,17.42
40,Zzz Biddeford,Zzz Biddeford High School,Biddeford High School,941,320,34.01,44,4.68,364,38.68
40,Zzz Biddeford,Zzz Biddeford Intermediate School,Biddeford Intermediate School,420,209,49.76,38,9.05,247,58.81
40,Zzz Biddeford,Zzz Biddeford Middle School,Biddeford Middle School,625,281,44.96,51,8.16,332,53.12
40,Zzz Biddeford,Zzz Biddeford Primary,Biddeford Primary,599,320,53.42,51,8.51,371,61.94
40,Zzz Biddeford,Zzz John F Kennedy Memorial Sch,John F Kennedy Memorial Sch,167,76,45.51,13,7.78,89,53.29
116,Zzz Dayton Union 007,Zzz Dayton Consolidated School,Dayton Consolidated School,167,19,11.38,6,3.59,25,14.97
223,Zzz Kittery,Zzz Frisbee Elementary School,Frisbee Elementary School,217,39,17.97,18,8.29,57,26.27
223,Zzz Kittery,Zzz Horace Mitchell School,Horace Mitchell School,248,47,18.95,24,9.68,71,28.63
223,Zzz Kittery,Zzz Robert W Traip Academy,Robert W Traip Academy,313,47,15.02,33,10.54,80,25.56
223,Zzz Kittery,Zzz Shapleigh Middle School,Shapleigh Middle School,222,40,18.02,21,9.46,61,27.48
99,Zzz N F I Beacon House,Zzz Buxton Secure Program,Buxton Secure Program,8,8,100,0,0,8,100
831,Zzz Notre Dame De Lourdes School,Zzz Notre Dame De Lourdes School,Notre Dame De Lourdes School,84,5,5.95,1,1.19,6,7.14
320,Zzz Old Orchard Bch,Zzz Jameson Elementary Sch,Jameson Elementary Sch,253,102,40.32,20,7.91,122,48.22
320,Zzz Old Orchard Bch,Zzz Loranger Middle School,Loranger Middle School,344,128,37.21,33,9.59,161,46.8
320,Zzz Old Orchard Bch,Zzz Old Orchard Beach H S,Old Orchard Beach H S,296,83,28.04,24,8.11,107,36.15
374,Zzz Saco Union 007,Zzz C K Burns School,C K Burns School,619,143,23.1,38,6.14,181,29.24
374,Zzz Saco Union 007,Zzz Governor John Fairfield School,Governor John Fairfield School,291,104,35.74,18,6.19,122,41.92
374,Zzz Saco Union 007,Zzz Saco Middle School,Saco Middle School,746,132,17.69,55,7.37,187,25.07
374,Zzz Saco Union 007,Zzz Young School,Young School,303,32,10.56,12,3.96,44,14.52
506,Zzz Sad 06,Zzz Bonny Eagle Middle School,Bonny Eagle Middle School,907,241,26.57,97,10.69,338,37.27
506,Zzz Sad 06,Zzz Eliza Libby Elem School,Eliza Libby Elem School,89,15,16.85,6,6.74,21,23.6
506,Zzz Sad 06,Zzz Frank Jewett School,Frank Jewett School,247,60,24.29,25,10.12,85,34.41
