dist-code,dist-name,name,enroll,free,free-percent,reduced,reduced-percent,eligible,eligible-percent
1007,Auburn School Department,Auburn Middle School,511,243,47.55,29,5.68,272,53.23
1007,Auburn School Department,East Auburn Community School,196,83,42.35,16,8.16,99,50.51
1007,Auburn School Department,Edward Little High School,1069,467,43.69,44,4.12,511,47.8
1007,Auburn School Department,Fairview School,590,190,32.2,26,4.41,216,36.61
1007,Auburn School Department,Park Avenue Elementary School,381,228,59.84,15,3.94,243,63.78
1007,Auburn School Department,Sherwood Heights Elementary Sch,393,224,57,13,3.31,237,60.31
1007,Auburn School Department,Walton School,311,197,63.34,21,6.75,218,70.1
1007,Auburn School Department,Washburn School,251,179,71.31,14,5.58,193,76.89
5027,Becket Family Of Services,Becket - Auburn,6,6,100,0,0,6,100
1088,Lewiston School Department,Farwell Elementary School,364,212,58.24,31,8.52,243,66.76
1088,Lewiston School Department,Governor James B Longley Elem Sch,362,358,98.9,0,0,358,98.9
1088,Lewiston School Department,Lewiston High School,1266,725,57.27,58,4.58,783,61.85
1088,Lewiston School Department,Lewiston Middle School,734,466,63.49,23,3.13,489,66.62
1088,Lewiston School Department,Martel School,326,221,67.79,18,5.52,239,73.31
1088,Lewiston School Department,Montello School,718,569,79.25,19,2.65,588,81.89
1088,Lewiston School Department,Raymond A. Geiger Elementary School,709,409,57.69,24,3.39,433,61.07
1088,Lewiston School Department,Thomas J Mcmahon Elementary Sch,567,290,51.15,13,2.29,303,53.44
1092,Lisbon School Department,Lisbon Community School,648,295,45.52,57,8.8,352,54.32
1092,Lisbon School Department,Lisbon High School,381,136,35.7,40,10.5,176,46.19
1092,Lisbon School Department,Philip W Sugg Middle School,287,114,39.72,41,14.29,155,54.01
5099,N F I North,N.F.I. Dirigo Place,7,5,71.43,0,0,5,71.43
5099,N F I North,N.F.I.Dodge House,7,7,100,0,0,7,100
5702,New Beginnings,New Beginnings Shelter,12,12,100,0,0,12,100
3157,Rsu 04,Oak Hill High School,445,180,40.45,26,5.84,206,46.29
